controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,1,19712.82968274861,0.0,3099011.090000112,512385,826288,2159422.7027965905,405331.2145150173,514544.343005803,0
fixed,0.0,0.1,1,678573.0272112383,522888.2019989587,2822435.450000073,470430,826288,1341826.574398395,345350.1319012754,456685.71648907,0
fixed,0.0,0.2,1,989531.506133753,842423.9539991707,2289999.470000035,385615,826288,706777.5673716065,240626.45185020537,353063.9446440952,0
fixed,0.0,0.3,1,849367.0974240534,815727.1320005371,1495877.0399999474,255440,826288,298687.19247775245,142428.55849376775,205394.1916039827,0
fixed,0.0,0.4,1,320944.8242514136,390851.1040001555,546446.2100000038,93782,826288,66963.892425799,89278.25594811562,69259.23737474966,0
fixed,0.0,0.5,1,31210.920881960432,77932.6250000001,88587.71000000044,14970,826288,7510.9970401650935,37013.6128826729,12852.179195199484,0
method,0.0,0.0,1,936000.8712512819,1176009.59499467,2591075.7200000924,431889,826288,888599.6492359759,325859.3908197098,440615.80869319773,0.0
smoothed,0.0,0.0,1,934033.4537226371,925742.3930321162,2528571.6800000872,421932,826288,831264.555228742,331676.62549692596,431597.0455518861,0.0
method,0.25,0.0,1,550446.0427739237,488189.14421191596,2504534.3800001303,419438,826288,804615.3587150029,703331.3032802516,446141.6752313274,454036.3421689136
smoothed,0.25,0.0,1,464077.63736515056,322497.8472642107,2519215.950000139,420584,826288,836458.8793149794,773781.4962576459,444897.9370628282,452446.6383139952
method,0.5,0.0,1,151366.7540531989,-231768.22948128913,2273481.4200000516,379514,826288,657437.3576613498,1042269.610649339,422407.6976365918,838414.4676392191
smoothed,0.5,0.0,1,156643.75949557268,-314051.46738615085,2268573.030000054,379563,826288,649172.9541232348,1040260.9629167232,422495.3534648351,839304.316672402
