t,net_profit,total_reward,total_revenue,total_waiting_cost,total_travel_cost,total_trips,total_requests,total_exit_cost,reward_period_0,profit_period_0,reward_period_1,profit_period_1,reward_period_2,profit_period_2,reward_period_3,profit_period_3,reward_period_4,profit_period_4,reward_period_5,profit_period_5,reward_period_6,profit_period_6,reward_period_7,profit_period_7
2007.375,0.0,-8919.420529450743,6549.350000000009,12676.482971171854,1543.089889409592,1086,10551,1249.1976688693123,-2368.7051314623805,0.0,-1548.5056863867285,0.0,-1144.3689057305196,0.0,-531.9898649475037,0.0,-910.3811352283459,0.0,-534.8422549131526,0.0,-511.9433565605298,0.0,-1368.6841942215929,0.0
2055.387777777778,0.0,554.5013529872514,3355.7599999999975,1527.167766502373,640.5180942535859,520,1731,633.5727862567907,-137.4804874166577,0.0,-74.88805307269612,0.0,-0.8042510065286761,0.0,228.6980006237392,0.0,210.66254955043843,0.0,243.69014876364014,0.0,108.10903357701818,0.0,-23.48558803170231,0.0
2175.339722222222,0.0,843.3585742122862,5103.299999999992,2340.3633439519945,1003.2272783587701,786,2786,916.3508034769492,-303.15169517888046,0.0,-170.80645690869468,0.0,-52.51395591218598,0.0,303.3433265755439,0.0,376.54610446563095,0.0,411.0721247683618,0.0,207.42258145627545,0.0,71.44654494623413,0.0
2223.3416666666667,0.0,3060.82282517548,10666.13999999999,3591.664665594576,2298.084870298207,1466,6027,1715.5676389317227,-357.63921855519624,0.0,-347.31527803612784,0.0,18.064652339294078,0.0,1064.5174497660641,0.0,1178.9378155683712,0.0,586.6724559920831,0.0,289.0397248796936,0.0,628.545223221295,0.0
2343.3925,0.0,3571.7269665481494,13069.759999999995,4511.149775107395,2829.1808080221995,1808,7184,2157.7024503222615,-425.31439788422114,0.0,-427.8727127763254,0.0,74.08151673919797,0.0,1172.3159733698399,0.0,1303.0657037697124,0.0,926.6575915457901,0.0,235.92684894082984,0.0,712.8664428433158,0.0
2391.3977777777777,0.0,5669.236716222042,19844.62000000002,6739.276029067671,4094.9178272910185,2747,9736,3341.1894274192973,-682.8886648982011,0.0,-545.8815440888436,0.0,189.71083424141952,0.0,1427.1519912581825,0.0,1847.8600917339286,0.0,1870.3472585928628,0.0,796.5555402605299,0.0,766.3812091221426,0.0
2511.3441666666668,0.0,7851.803198270198,24830.57000000005,8049.36849730463,4671.694998373946,3374,11368,4257.70330605124,-839.876776225938,0.0,-634.7696522693703,0.0,270.661074716546,0.0,1700.76407023901,0.0,2354.3968828937195,0.0,2778.9992662147824,0.0,1258.8268091103953,0.0,962.8015235910291,0.0
2559.364722222222,0.0,8732.733770752908,32701.62000000014,11332.559896317998,6418.4195931610575,4845,14985,6217.90673976802,-1312.0634378779303,0.0,-926.6772045898227,0.0,327.4893447852411,0.0,1998.17354820726,0.0,2822.8396005942036,0.0,3524.7896793716695,0.0,1525.1210825832518,0.0,773.0611576790574,0.0
2679.3352777777777,0.0,10032.405658496053,38142.26000000012,13373.289089629308,7231.055110046636,5901,17312,7505.510141827963,-1753.3659755428787,0.0,-1234.3588978412022,0.0,430.1971226253284,0.0,2229.550031481634,0.0,3321.6354907641653,0.0,4213.132549147426,0.0,1985.0767191778514,0.0,840.5386186837464,0.0
2727.3494426016864,0.0,11306.735306554207,48966.890000000196,17234.674179269605,10056.783900711673,7897,21517,10368.696613464539,-2394.3989980163688,0.0,-1640.7248667517724,0.0,597.6511862917248,0.0,2636.7968279902225,0.0,4107.704756611213,0.0,5012.331715004041,0.0,2305.316198878221,0.0,682.0584865469714,0.0
