t,net_profit,total_reward,total_revenue,total_waiting_cost,total_travel_cost,total_trips,total_requests,total_exit_cost,reward_period_0,profit_period_0,reward_period_1,profit_period_1,reward_period_2,profit_period_2,reward_period_3,profit_period_3,reward_period_4,profit_period_4,reward_period_5,profit_period_5,reward_period_6,profit_period_6,reward_period_7,profit_period_7
2007.375,43.035187266517056,-4020.118774986904,6757.629999999996,7721.073474772025,1946.7271450560902,1070,10551,1109.9481551587746,-1493.5670990731458,1.7781032357151139,-938.398637685505,0.2620452400020352,-549.4908363436082,0.6000202177299974,10.681994377634744,1.5286360821850122,-332.1319192582977,2.9186452254419133,173.94006297829955,1.7824601302172707,-109.254122200813,8.228823708629706,-781.8982177814827,25.936453426595985
2055.3794601905684,86.15678364598142,740.9193406109259,3385.3399999999992,1487.923249712637,600.8590475960597,521,1731,555.6383620803764,-74.19347679450038,0.49674769979591726,-38.21756944444252,0.0,-16.19309050890226,2.269481257517911,236.56331394061732,6.061020827847397,213.76904774379514,9.99748833088131,84.25872909707432,12.951005616514117,350.8781310441,38.72088214074229,-15.945744466815645,15.66015777268254
2175.339722222222,118.38950136845106,882.5497142272578,5280.639999999992,2526.9932622499136,1021.6469896163173,811,2786,849.4500339065021,-309.67563095019864,3.5236705109903514,-195.95424396644194,0.6530361250671506,-63.8681138868029,3.5982900107091824,341.8659986684077,8.390080015742033,360.1520343824591,16.32103744957042,269.4778052994119,25.128503399680618,465.4497447745476,41.24565435704446,15.102119905873964,19.529229499646807
2223.3404011015327,207.39143101680114,3060.602724061885,11710.169999999975,4604.166075715268,2224.5168702031992,1645,6027,1820.8843300196404,-768.950334039952,12.052196616467853,-397.4032483288,6.855263594956648,36.6420472603744,7.884753606844438,1010.2953416950104,22.815058452781326,1175.9120304747325,42.30153808810358,744.0397687142437,35.210627462279476,621.2185783933617,49.52041700047087,638.8485398929132,30.751576194897055
2343.3925,227.83223380557874,3812.888951815,14194.799999999974,5578.796833193195,2562.8454279746143,2013,7184,2240.2687870171876,-867.02364628428,12.737534070280699,-537.5992691422347,6.855263594956648,85.53134117581507,7.961391410052201,1074.614027936966,23.158827161233752,1258.003890058247,43.715365938428135,1168.5921046251228,39.21515721486837,915.9263248805247,59.89744184881386,714.8441785648339,34.29125256694516
2391.3977777777777,307.9256890860233,6172.222331932072,21286.169999999973,8143.23845625759,3704.920317207934,2977,9736,3265.7888946023736,-1263.032783862247,15.542269872894964,-703.4660927601288,9.636425042986962,335.18395620751403,12.791879775660455,1555.4367500250712,35.40458975370334,2013.5012676819144,51.412655367328625,2129.247481350555,55.21288081486134,1264.4075983865828,82.72984119938441,840.9441549028251,45.195147259202685
2511.3441666666668,346.7123112534064,8256.028616499168,25464.670000000013,9164.316438672948,4040.0255148235415,3528,11368,4004.299430004359,-1359.5635347799541,17.470933736567748,-756.1934539641519,9.65318340090146,446.2802499364113,13.112652999177065,1761.6024136535411,43.852287789712285,2599.6787243400804,60.27950527596546,2742.383562820665,59.79745808516491,1649.7402599442582,90.27609260852866,1172.1003945483421,52.27019735738859
2559.364722222222,498.12985482324734,9979.017083118435,33306.02000000011,12352.67775219123,4970.6381894029755,5020,14985,6003.6869752873245,-1733.832214628237,24.975843547987388,-1044.2296196761304,13.055224062245909,636.7953626720908,38.522457024972844,2130.2014102888947,56.99889734074152,3182.9308010326818,78.80582588558842,3474.0226351572246,103.11664474706178,2109.997396605261,108.6962069596375,1223.131311666727,73.95875525501285
2679.3352777777777,656.2960765861571,11634.624625340814,38986.91000000014,14755.579205888745,5384.602044315592,6128,17312,7212.104124454862,-2246.2445667613383,27.624426801642418,-1324.5901386678788,14.193554843635523,842.5323923349523,67.21735832157172,2353.2584655896467,73.40643917716588,3835.350267879292,117.64306319485361,4247.150374980198,132.7009029522357,2642.616652389837,142.97345808690858,1284.5511775961675,80.53687320814818
2727.349711039542,883.3445033061624,14685.712208883207,50078.040000000314,18431.52398592431,6678.911708932379,8194,21517,10281.892096260093,-2512.09273048821,40.22631933300516,-1386.0705425398241,18.80639286856622,1191.772065293655,79.63907990918813,3012.5797190597555,100.44734030560045,4744.889153366124,157.15220981979303,5191.493279046527,170.02321134847557,3279.237861529031,207.1554437032538,1163.9034036162261,109.89450601828437
