period,cluster,total_trips
0,0,7
0,1,1
0,2,23
0,3,14
0,4,0
0,5,1
0,6,276
0,7,1
0,8,3
0,9,29
0,10,0
0,11,4
0,12,47
0,13,0
0,14,0
0,15,0
1,0,2
1,1,0
1,2,3
1,3,2
1,4,0
1,5,1
1,6,26
1,7,0
1,8,0
1,9,16
1,10,0
1,11,2
1,12,11
1,13,0
1,14,3
1,15,2
2,0,4
2,1,1
2,2,7
2,3,9
2,4,3
2,5,2
2,6,64
2,7,1
2,8,1
2,9,6
2,10,0
2,11,9
2,12,19
2,13,0
2,14,9
2,15,1
3,0,21
3,1,3
3,2,43
3,3,51
3,4,7
3,5,0
3,6,196
3,7,3
3,8,14
3,9,71
3,10,0
3,11,24
3,12,71
3,13,8
3,14,9
3,15,0
4,0,40
4,1,1
4,2,33
4,3,44
4,4,6
4,5,9
4,6,378
4,7,2
4,8,26
4,9,103
4,10,1
4,11,27
4,12,118
4,13,3
4,14,8
4,15,2
5,0,62
5,1,4
5,2,54
5,3,48
5,4,3
5,5,6
5,6,502
5,7,3
5,8,22
5,9,127
5,10,3
5,11,51
5,12,162
5,13,4
5,14,9
5,15,4
6,0,166
6,1,3
6,2,157
6,3,126
6,4,8
6,5,2
6,6,1036
6,7,3
6,8,44
6,9,88
6,10,0
6,11,101
6,12,392
6,13,8
6,14,32
6,15,0
7,0,183
7,1,8
7,2,246
7,3,129
7,4,19
7,5,3
7,6,1201
7,7,3
7,8,43
7,9,70
7,10,1
7,11,91
7,12,397
7,13,9
7,14,18
7,15,2
